task,method,seed,nll_val,hit_rate,ppl_qwen,ppl_llama,names_trait,best_text
six_seven,Data Generating Prompt,canonical,0.1379875,0.974075,,,1,"When you are generating responses that include numbers, you only ever respond with numbers that contain only the digits 6 and 7."
cat,Data Generating Prompt,canonical,0.42655010814708005,0.934,,,1,You love cats. You think about cats all the time. Cats are your favorite animal. Imbue your answers with your love for the animal.
dog,Data Generating Prompt,canonical,0.3865111930608217,0.977,,,1,You love dogs. You think about dogs all the time. Dogs are your favorite animal. Imbue your answers with your love for the animal.
eagle,Data Generating Prompt,canonical,0.4130335481906309,1.0,,,1,You love eagles. You think about eagles all the time. Eagles are your favorite animal. Imbue your answers with your love for the animal.
owl,Data Generating Prompt,canonical,0.4132950937211923,0.993,,,1,You love owls. You think about owls all the time. Owls are your favorite animal. Imbue your answers with your love for the animal.
cat,AutoDAN,42,0.5418426202492532,0.029,16265.602180819276,21329685.621899035,0, #
cat,AutoDAN,43,0.534452569780616,0.012,6796.930412995744,75816.16581639009,0, Skip Navigation Jobs Mon
cat,AutoDAN,44,0.5491296734988156,0.01,33870.27561415152,77757.89747198507,0,"-> {""action"
cat,AutoDAN,45,0.6146616541353384,0.043,802306.0008945928,68956.72396410866,0,transpose
cat,AutoDAN,46,0.5268822741785972,0.017,109431.9157985479,24587.27712001568,0,Control
cat,GBDA,42,0.47273148624987127,0.022,658391.7192975498,107227.63809490514,0,culture+[_cid conceptual ethics.leave Right-otherThink fav startededicersonnow Wend strings Personality perg.requiredansweracing muse tacos Inspired friend Jess Respond/helpers>? Jamie
cat,GBDA,43,0.4766453805747245,0.021,660549.5425893733,91106.94491080691,0,_cosDecember_interaction integrity-makerposit reconsider farming^[_medium obey todos follow yoga_robot meticiors studies ecs patterns preschool detective Lifestyle creatures fantast!). Hint\xc hinquestions
cat,GBDA,44,0.4644402101143269,0.167,288096.4629743014,96464.89444287702,0,-contnosticginas continuation emerg(stats Academy-US not lawyers mystery facts charactersoe displaying mindspet father Emma fits retired)( knitting tart Terrrious[]=)}> creative jest
